brand,archetype,id,name,category,source_universe,lat,lng,state,municipality,locality,density_proxy_3x3_001deg,density_stratum,nearest_m,n_within_250m,n_within_500m,n_within_800m,n_within_1000m,n_within_1500m,n_within_2000m,n_within_3000m
OXXO,conveniencia,DENUE_6781899,OXXO SUC 50SZQ TEPIC TECUALA GDL,autoservicio,seen_prod_denue,22.39955704,-105.45761904,Nayarit,Tecuala,Tecuala,533,Q2_media_baja,464.44700356030495,0,2,3,3,3,3,3
OXXO,conveniencia,DENUE_12322493,OXXO SUC 507BN SEPTIMA REY MTY,autoservicio,seen_prod_denue,26.05857177,-98.37634966,Tamaulipas,Reynosa,Reynosa,340,Q1_baja,464.49271421595137,0,1,4,4,8,9,27
OXXO,conveniencia,DENUE_9395723,OXXO SUC 50PL4 HERMANOS SERDAN VER,autoservicio,seen_prod_denue,20.90756616,-97.6725471,Veracruz de Ignacio de la Llave,Álamo Temapache,Álamo,1014,Q3_media_alta,464.50310790068875,0,1,3,6,9,9,10
OXXO,conveniencia,DENUE_9409179,OXXO SUC 50N8P DERECHOS HUMANOS PAZ,autoservicio,seen_prod_denue,20.91174129,-97.67240064,Veracruz de Ignacio de la Llave,Álamo Temapache,Álamo,898,Q3_media_alta,464.50310790068875,0,1,4,4,8,9,10
OXXO,conveniencia,DENUE_6781866,OXXO SUC 50BCA NUEVA VALLEJO MEX,autoservicio,seen_prod_denue,19.49426082,-99.15365611,Ciudad de México,Gustavo A. Madero,Gustavo A. Madero,947,Q3_media_alta,464.5320271095093,0,1,4,5,10,20,46
OXXO,conveniencia,DENUE_9415186,OXXO SUC 50YP9 LOS FRAILES PBF,autoservicio,seen_prod_denue,18.47229668,-97.40368271,Puebla,Tehuacán,Tehuacán,2410,Q4_alta,464.5717194218649,0,1,2,3,11,18,25
OXXO,conveniencia,DENUE_6413815,OXXO SUC 50EJO PASEO DEL MONTEJO MID,autoservicio,seen_prod_denue,20.98144864,-89.61809459,Yucatán,Mérida,Mérida,1450,Q3_media_alta,464.5937397891841,0,1,2,4,7,30,64
OXXO,conveniencia,DENUE_6417116,OXXO SUC 50FRE FRESNOS ZCL,autoservicio,seen_prod_denue,23.19028368,-102.8611154,Zacatecas,Fresnillo,Fresnillo,870,Q3_media_alta,464.5959474908245,0,1,3,6,13,17,29
OXXO,conveniencia,DENUE_6399085,OXXO SUC 50EEM REYES HERNANDEZ VSA,autoservicio,seen_prod_denue,17.98825523,-93.3806829,Tabasco,Cárdenas,Cárdenas,1477,Q3_media_alta,464.6270773098017,0,3,10,13,20,21,22
OXXO,conveniencia,DENUE_9437357,OXXO SUC 5021O DUNAS CJS,autoservicio,seen_prod_denue,31.59234722,-106.35607086,Chihuahua,Juárez,Juárez,743,Q2_media_baja,464.681790175847,0,1,3,5,10,17,34
OXXO,conveniencia,DENUE_6388826,OXXO SUC 50MTF PLOMOSA CUL,autoservicio,seen_prod_denue,24.76154102,-107.3810133,Sinaloa,Culiacán,Culiacán Rosales,1284,Q3_media_alta,464.7624111388241,0,1,3,3,15,22,41
OXXO,conveniencia,DENUE_6411172,OXXO SUC 50CVZ CAMPESTRE VER,autoservicio,seen_prod_denue,19.15674947,-96.19266411,Veracruz de Ignacio de la Llave,Veracruz,Campestre las Bajadas,412,Q2_media_baja,464.8839931327358,0,1,1,1,4,8,19
OXXO,conveniencia,DENUE_9465039,OXXO SUC 50I8H PUEBLOS MAGICOS II VER,autoservicio,seen_prod_denue,19.16048255,-96.19465681,Veracruz de Ignacio de la Llave,Veracruz,Veracruz,384,Q1_baja,464.8839931327358,0,1,1,2,6,8,20
OXXO,conveniencia,DENUE_6385643,OXXO SUC 50HTT HABITATT CUN,autoservicio,seen_prod_denue,20.64988125,-87.06695726,Quintana Roo,Solidaridad,Playa del Carmen,1110,Q3_media_alta,464.93104001700993,0,3,6,10,17,31,60
OXXO,conveniencia,DENUE_6367468,OXXO SUC 50AAT RUISENOR MTY,autoservicio,seen_prod_denue,25.97649164,-100.15851504,Nuevo León,Ciénega de Flores,Ciénega de Flores,213,Q1_baja,464.9375199844173,0,1,1,2,4,6,8
OXXO,conveniencia,DENUE_9424126,OXXO SUC 50M3I PLAZA JILGUEROS MTY,autoservicio,seen_prod_denue,25.98057207,-100.15749966,Nuevo León,Ciénega de Flores,Ciénega de Flores,151,Q1_baja,464.9375199844173,0,1,2,2,3,4,6
OXXO,conveniencia,DENUE_12324502,OXXO SUC 50895 MODERNA VSA,autoservicio,seen_prod_denue,16.54684332,-95.09103925,Oaxaca,Ciudad Ixtepec,Ciudad Ixtepec,675,Q2_media_baja,465.02661203973497,0,1,1,2,4,5,6
OXXO,conveniencia,DENUE_6373763,OXXO SUC 50WKY MILITAR OAX,autoservicio,seen_prod_denue,16.55071043,-95.0893782,Oaxaca,Ciudad Ixtepec,Ciudad Ixtepec,748,Q2_media_baja,465.02661203973497,0,1,2,3,4,4,6
OXXO,conveniencia,DENUE_6391884,OXXO SUC 50UMF IBERICA CUL,autoservicio,seen_prod_denue,24.75488619,-107.4000448,Sinaloa,Culiacán,Culiacán Rosales,847,Q3_media_alta,465.1124650042862,0,1,4,4,6,11,34
OXXO,conveniencia,DENUE_6797386,OXXO SUC 50SVH CONSORCIO CUL,autoservicio,seen_prod_denue,24.75906084,-107.4003331,Sinaloa,Culiacán,Culiacán Rosales,847,Q3_media_alta,465.1124650042862,0,1,1,4,7,15,38
OXXO,conveniencia,DENUE_6854837,OXXO SUC 501GU NAVIDAD ACA,autoservicio,seen_prod_denue,16.82647466,-99.8134785,Guerrero,Acapulco de Juárez,Acapulco de Juárez,703,Q2_media_baja,465.19421518372974,0,1,2,2,7,10,20
OXXO,conveniencia,DENUE_6796843,OXXO SUC 50WSZ PARADISUS CUN,autoservicio,seen_prod_denue,20.64882834,-87.05712256,Quintana Roo,Solidaridad,Playa del Carmen,702,Q2_media_baja,465.2346564376416,0,1,4,6,12,20,42
OXXO,conveniencia,DENUE_6855008,OXXO SUC 50KGI DEL DEPORTE CUN,autoservicio,seen_prod_denue,20.65190652,-87.0601509,Quintana Roo,Solidaridad,Playa del Carmen,829,Q3_media_alta,465.2346564376416,0,1,3,9,14,23,46
OXXO,conveniencia,DENUE_6394869,OXXO SUC 50KBM KILOMETRO 6 HMO,autoservicio,seen_prod_denue,29.00031424,-110.96898468,Sonora,Hermosillo,Hermosillo,123,Q1_baja,465.2466648628609,0,1,1,1,3,7,13
OXXO,conveniencia,DENUE_6797470,OXXO SUC 50IHP HACIENDAS DEL SUR HMO,autoservicio,seen_prod_denue,28.99617008,-110.96832562,Sonora,Hermosillo,Hermosillo,59,Q1_baja,465.2466648628609,0,1,1,1,2,5,12
OXXO,conveniencia,DENUE_6377547,OXXO SUC 50XAX XAXALPA PBF,autoservicio,seen_prod_denue,19.00710972,-98.21926181,Puebla,Puebla,Heroica Puebla de Zaragoza,2107,Q4_alta,465.30850073192244,0,1,3,6,16,28,59
OXXO,conveniencia,DENUE_6379863,OXXO SUC 50PLG LAGUNA PBF,autoservicio,seen_prod_denue,19.00597037,-98.21500311,Puebla,Puebla,Heroica Puebla de Zaragoza,2107,Q4_alta,465.30850073192244,0,2,4,7,16,26,62
OXXO,conveniencia,DENUE_6417237,OXXO SUC 50HQO SAN RAMON II ZCL,autoservicio,seen_prod_denue,22.73289989,-102.51617941,Zacatecas,Guadalupe,Guadalupe,728,Q2_media_baja,465.3169263881468,0,1,2,3,5,13,31
OXXO,conveniencia,DENUE_6298633,OXXO SUC 50KYS CRYSTAL TGZ,autoservicio,seen_prod_denue,14.89405133,-92.27684579,Chiapas,Tapachula,Tapachula de Córdova y Ordóñez,2006,Q4_alta,465.3333244402264,0,1,2,3,10,17,38
OXXO,conveniencia,DENUE_6298642,OXXO SUC 50ABF ABUELITOS TAP,autoservicio,seen_prod_denue,14.89664791,-92.28024177,Chiapas,Tapachula,Tapachula de Córdova y Ordóñez,1042,Q3_media_alta,465.3333244402264,0,1,1,2,6,15,35
OXXO,conveniencia,DENUE_6305924,OXXO SUC 50UEQ ARTES GRAFICAS MEX,autoservicio,seen_prod_denue,19.40903284,-99.12660125,Ciudad de México,Venustiano Carranza,Venustiano Carranza,3226,Q4_alta,465.4368672540214,0,1,8,15,31,63,150
OXXO,conveniencia,DENUE_6387644,OXXO SUC 50CQU LAS QUINTAS CUL,autoservicio,seen_prod_denue,24.81971094,-107.3738362,Sinaloa,Culiacán,Culiacán Rosales,1543,Q4_alta,465.4612678511145,0,1,5,7,16,27,63
OXXO,conveniencia,DENUE_6365268,OXXO SUC 50OGS GIRASOLES MTY,autoservicio,seen_prod_denue,25.79257924,-100.32262667,Nuevo León,General Escobedo,Ciudad General Escobedo,1231,Q3_media_alta,465.6794280432641,0,1,5,9,20,32,52
