brand,archetype,density_stratum,density_proxy_median,n,n_with_nn,nn_p10_m,nn_p25_m,nn_p50_m,nn_p75_m,nn_p90_m,nn_mean_m,mean_sisters_within_250m,pct_with_any_sister_within_250m,mean_sisters_within_500m,pct_with_any_sister_within_500m,mean_sisters_within_800m,pct_with_any_sister_within_800m,mean_sisters_within_1000m,pct_with_any_sister_within_1000m,mean_sisters_within_1500m,pct_with_any_sister_within_1500m,mean_sisters_within_2000m,pct_with_any_sister_within_2000m,mean_sisters_within_3000m,pct_with_any_sister_within_3000m,pct_nn_le_10m,pct_nn_le_25m,pct_nn_le_60m,profile_sample_n_ge_30
Tiendas 3B,tiendas_descuento,Q3_media_alta,1130.0,528,528,17.217313072738285,205.37088110463876,597.9316577762605,1162.1971352381215,1907.4532044671978,2077.649934986617,0.36174242424242425,30.303030303030305,0.6893939393939394,42.42424242424242,1.1325757575757576,59.65909090909091,1.3768939393939394,67.04545454545455,2.2178030303030303,82.00757575757575,3.297348484848485,91.28787878787878,5.84280303030303,94.88636363636364,8.143939393939394,13.825757575757576,17.613636363636363,YES
Tiendas 3B,tiendas_descuento,Q4_alta,2326.0,925,925,6.503174242083181,44.16523741604686,469.4524622486602,840.5930057177252,1228.5627858219486,558.7291411330895,0.3816216216216216,32.0,0.8367567567567568,52.54054054054054,1.8118918918918918,72.75675675675676,2.5891891891891894,83.02702702702703,4.8432432432432435,95.35135135135135,7.635675675675675,99.02702702702703,14.68108108108108,99.78378378378379,12.108108108108109,22.054054054054053,27.027027027027028,YES
Starbucks,cafeteria_fast_food,Q1_baja,134.0,153,153,0.0,146.79526425035456,1024.2729223996505,3131.499308727076,8181.558114796293,4327.451714504195,1.3986928104575163,32.6797385620915,1.6993464052287581,41.830065359477125,2.0065359477124183,46.40522875816993,2.1372549019607843,49.673202614379086,2.2941176470588234,59.47712418300654,2.5163398692810457,64.05228758169935,3.4313725490196076,73.85620915032679,19.607843137254903,19.607843137254903,21.568627450980394,YES
Starbucks,cafeteria_fast_food,Q2_media_baja,588.0,156,156,36.453506988134905,275.21846503348365,1001.585771981437,2195.421926058207,4743.955358288049,7772.916212015985,0.26282051282051283,24.358974358974358,0.47435897435897434,33.333333333333336,0.6153846153846154,39.1025641025641,0.8461538461538461,50.0,1.4807692307692308,64.1025641025641,2.2435897435897436,73.07692307692308,4.128205128205129,82.6923076923077,9.615384615384615,9.615384615384615,13.461538461538462,YES
Starbucks,cafeteria_fast_food,Q3_media_alta,1206.0,265,265,0.0,81.75520356468088,471.8770320958912,1298.7890303210922,2654.6401670343485,4402.998299840747,0.8188679245283019,40.0,1.2754716981132075,50.943396226415096,1.7924528301886793,58.490566037735846,2.128301886792453,66.79245283018868,3.290566037735849,79.62264150943396,4.339622641509434,86.0377358490566,7.139622641509434,91.69811320754717,17.735849056603772,19.62264150943396,24.528301886792452,YES
Starbucks,cafeteria_fast_food,Q4_alta,2340.0,334,334,0.0,94.3734303024725,425.6949141407554,1126.4244033844084,1995.4765840168407,1601.5288832766903,0.6526946107784432,37.724550898203596,1.2035928143712575,53.59281437125748,2.059880239520958,65.5688622754491,2.697604790419162,70.95808383233533,4.952095808383233,84.13173652694611,8.146706586826348,89.82035928143712,15.254491017964073,95.20958083832335,16.46706586826347,20.65868263473054,22.75449101796407,YES
McDonald's,fast_food,Q1_baja,221.0,17,17,242.32914499036832,1930.7827787253113,3921.840088474145,4702.7972793984745,6699.458288896829,9303.500999470003,0.11764705882352941,11.764705882352942,0.23529411764705882,23.529411764705884,0.23529411764705882,23.529411764705884,0.23529411764705882,23.529411764705884,0.23529411764705882,23.529411764705884,0.4117647058823529,41.1764705882353,0.47058823529411764,47.05882352941177,11.764705882352942,11.764705882352942,11.764705882352942,NO
McDonald's,fast_food,Q2_media_baja,667.0,62,62,102.97247797395914,1715.3770067319929,2518.774796286983,5745.989022895392,22788.25127504265,16073.11618779667,0.16129032258064516,11.290322580645162,0.25806451612903225,20.967741935483872,0.25806451612903225,20.967741935483872,0.25806451612903225,20.967741935483872,0.3225806451612903,20.967741935483872,0.5645161290322581,37.096774193548384,1.0161290322580645,53.225806451612904,6.451612903225806,6.451612903225806,8.064516129032258,YES
McDonald's,fast_food,Q3_media_alta,1123.0,141,141,19.73882971570335,211.22838922170544,1399.79381163661,2674.894574673268,5292.493408848762,4478.449259015742,0.3262411347517731,26.24113475177305,0.425531914893617,32.6241134751773,0.5106382978723404,36.87943262411348,0.5460992907801419,39.716312056737586,1.0070921985815602,51.773049645390074,1.4042553191489362,62.4113475177305,2.4184397163120566,77.30496453900709,9.21985815602837,10.638297872340425,19.148936170212767,YES
McDonald's,fast_food,Q4_alta,2327.5,188,188,15.031842070481279,251.9735619541536,1121.2939843177442,2077.3000247329155,3419.0452231773597,4131.019249776244,0.3723404255319149,25.0,0.5,33.51063829787234,0.6063829787234043,40.42553191489362,0.7287234042553191,44.680851063829785,1.1914893617021276,61.170212765957444,1.797872340425532,73.40425531914893,3.3191489361702127,89.36170212765957,9.042553191489361,10.638297872340425,15.957446808510639,YES
