brand,archetype,state,municipality,locality,n,n_with_nn,nn_p10_m,nn_p25_m,nn_p50_m,nn_p75_m,nn_p90_m,nn_mean_m,mean_sisters_within_250m,pct_with_any_sister_within_250m,mean_sisters_within_500m,pct_with_any_sister_within_500m,mean_sisters_within_800m,pct_with_any_sister_within_800m,mean_sisters_within_1000m,pct_with_any_sister_within_1000m,mean_sisters_within_1500m,pct_with_any_sister_within_1500m,mean_sisters_within_2000m,pct_with_any_sister_within_2000m,mean_sisters_within_3000m,pct_with_any_sister_within_3000m,pct_nn_le_10m,pct_nn_le_25m,pct_nn_le_60m,profile_sample_n_ge_30
OXXO,conveniencia,Veracruz de Ignacio de la Llave,Boca del Río,Boca del Río,10,10,19.036756366503077,138.80211457358098,212.99055041074715,286.7944043486483,353.36013048926327,207.87037073050323,1.0,70.0,3.7,100.0,6.0,100.0,8.9,100.0,12.0,100.0,14.0,100.0,19.5,100.0,0.0,20.0,20.0,NO
OXXO,conveniencia,Veracruz de Ignacio de la Llave,Álamo Temapache,Álamo,10,10,344.9397978268216,447.04246370281714,485.4149275781609,647.0827754516755,735.2309009744316,528.1034031855171,0.0,0.0,0.6,50.0,2.4,100.0,3.6,100.0,6.7,100.0,8.7,100.0,9.8,100.0,0.0,0.0,0.0,NO
OXXO,conveniencia,Zacatecas,Jerez,Jerez de García Salinas,10,10,225.2012651228067,423.9843953546785,463.1712096302639,650.0660146788817,740.0924239637543,489.9112261530322,0.2,20.0,1.0,70.0,2.2,100.0,3.2,100.0,6.0,100.0,8.4,100.0,9.0,100.0,0.0,0.0,0.0,NO
Starbucks,cafeteria_fast_food,Ciudad de México,Cuauhtémoc,Cuauhtémoc,43,43,63.75331002852186,114.40488305062078,250.59733363452548,356.3884406930635,601.3974526254385,306.3919531957269,1.2093023255813953,46.51162790697674,2.9302325581395348,86.04651162790698,5.348837209302325,95.34883720930233,7.093023255813954,95.34883720930233,12.767441860465116,97.67441860465117,20.930232558139537,100.0,35.51162790697674,100.0,9.30232558139535,9.30232558139535,9.30232558139535,YES
Starbucks,cafeteria_fast_food,Ciudad de México,Benito Juárez,Benito Juárez,39,39,0.0,18.292975725411416,187.56921487286183,468.99374694196933,685.3297606187226,277.1042540963119,0.9743589743589743,53.84615384615385,1.9743589743589745,79.48717948717949,3.8461538461538463,94.87179487179488,5.487179487179487,97.43589743589743,11.205128205128204,100.0,19.0,100.0,36.282051282051285,100.0,23.076923076923077,28.205128205128204,33.333333333333336,YES
Starbucks,cafeteria_fast_food,Ciudad de México,Álvaro Obregón,Álvaro Obregón,34,34,0.9949072191059389,74.58857598065366,280.57609584096224,646.3554330793805,1090.807843414345,421.2483214074978,0.47058823529411764,47.05882352941177,1.2352941176470589,67.6470588235294,2.1176470588235294,82.3529411764706,2.6470588235294117,85.29411764705883,6.970588235294118,100.0,10.735294117647058,100.0,18.794117647058822,100.0,17.647058823529413,23.529411764705884,23.529411764705884,YES
Starbucks,cafeteria_fast_food,Nuevo León,Monterrey,Monterrey,31,31,0.0,183.01899324598375,807.1773681115515,1534.2999117665743,2201.814955965925,900.0705502143521,0.25806451612903225,25.806451612903224,0.5806451612903226,45.16129032258065,0.9032258064516129,45.16129032258065,1.3870967741935485,64.51612903225806,1.8387096774193548,74.19354838709677,3.2903225806451615,87.09677419354838,8.193548387096774,100.0,12.903225806451612,12.903225806451612,19.35483870967742,YES
Starbucks,cafeteria_fast_food,Jalisco,Zapopan,Zapopan,30,30,0.0,171.32015609949195,969.8781137536085,1356.8919490589192,1489.9088106870045,849.4229914362116,0.5333333333333333,30.0,0.8,30.0,0.9333333333333333,43.333333333333336,1.0333333333333334,53.333333333333336,2.1,90.0,3.1666666666666665,96.66666666666667,5.833333333333333,100.0,13.333333333333334,20.0,20.0,YES
Starbucks,cafeteria_fast_food,Baja California,Tijuana,Tijuana,22,22,0.0,22.66419979778259,311.4980928892063,699.6143397513396,2129.7683554724877,1088.671534633261,0.8181818181818182,45.45454545454545,1.0909090909090908,68.18181818181819,1.4545454545454546,81.81818181818181,1.6363636363636365,81.81818181818181,2.090909090909091,86.36363636363636,2.727272727272727,86.36363636363636,4.7272727272727275,90.9090909090909,18.181818181818183,27.272727272727273,40.90909090909091,NO
Starbucks,cafeteria_fast_food,Quintana Roo,Benito Juárez,Cancún,22,22,0.0,40.969854450005144,148.6836890577703,642.043652925865,1178.7028932300634,448.0239989769147,0.5454545454545454,54.54545454545455,1.0909090909090908,68.18181818181819,1.5454545454545454,77.27272727272727,1.7272727272727273,86.36363636363636,2.5454545454545454,90.9090909090909,3.4545454545454546,100.0,5.7272727272727275,100.0,18.181818181818183,18.181818181818183,36.36363636363637,NO
Starbucks,cafeteria_fast_food,Ciudad de México,Venustiano Carranza,Venustiano Carranza,20,20,0.0,0.0,0.0,0.0,777.2215066653603,250.24570815872275,6.0,80.0,6.0,80.0,6.1,90.0,6.1,90.0,6.1,90.0,7.85,100.0,17.85,100.0,80.0,80.0,80.0,NO
Starbucks,cafeteria_fast_food,Guanajuato,León,León de los Aldama,20,20,11.55013060857019,126.9425956446985,405.0681620420319,1134.7874464656952,3425.491173147299,988.3668833984606,0.4,40.0,0.6,55.0,1.1,60.0,1.5,65.0,3.1,85.0,3.9,85.0,5.1,85.0,10.0,20.0,20.0,NO
Starbucks,cafeteria_fast_food,Querétaro,Querétaro,Santiago de Querétaro,20,20,667.9170735170352,815.8464576805229,969.1348293070537,1261.7389866164299,1608.101730111082,1296.0669083588,0.1,10.0,0.1,10.0,0.2,20.0,0.65,50.0,1.25,85.0,2.1,95.0,3.95,95.0,10.0,10.0,10.0,NO
Starbucks,cafeteria_fast_food,Puebla,Puebla,Heroica Puebla de Zaragoza,19,19,0.0,4.483356650347085,126.56463689625014,974.8227622323852,1657.5383142899682,600.4377646103038,0.5789473684210527,57.89473684210526,0.5789473684210527,57.89473684210526,1.0,73.6842105263158,1.4210526315789473,73.6842105263158,2.0526315789473686,84.21052631578948,3.8421052631578947,89.47368421052632,7.842105263157895,100.0,31.57894736842105,31.57894736842105,42.10526315789474,NO
Starbucks,cafeteria_fast_food,Nuevo León,San Pedro Garza García,San Pedro Garza García,18,18,0.0,7.138815583561923,172.45795522185298,465.60201624924446,962.4525761255952,403.770486963135,0.8888888888888888,55.55555555555556,2.7777777777777777,77.77777777777777,3.5555555555555554,77.77777777777777,4.555555555555555,88.88888888888889,7.277777777777778,94.44444444444444,8.555555555555555,94.44444444444444,16.72222222222222,100.0,27.77777777777778,27.77777777777778,38.888888888888886,NO
Starbucks,cafeteria_fast_food,Ciudad de México,Coyoacán,Coyoacán,17,17,0.0,2.3302865736041416,636.5058387419629,1238.6444346615106,1313.9129413126673,587.9639085937121,0.6470588235294118,47.05882352941177,0.8235294117647058,47.05882352941177,1.1176470588235294,58.8235294117647,1.3529411764705883,64.70588235294117,3.9411764705882355,100.0,7.411764705882353,100.0,14.882352941176471,100.0,29.41176470588235,29.41176470588235,41.1764705882353,NO
Starbucks,cafeteria_fast_food,México,Naucalpan de Juárez,Naucalpan de Juárez,17,17,149.65723492587708,421.1390108827834,622.8589632684159,1118.0853041108169,1620.3140699813316,815.1336742361797,0.23529411764705882,23.529411764705884,0.9411764705882353,41.1764705882353,1.1764705882352942,52.94117647058823,1.2941176470588236,58.8235294117647,2.4705882352941178,82.3529411764706,4.647058823529412,94.11764705882354,9.941176470588236,100.0,11.764705882352942,11.764705882352942,11.764705882352942,NO
Starbucks,cafeteria_fast_food,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,16,16,123.44207827841979,172.21942983052435,285.99417304241916,915.1632595986716,1030.6415347360671,497.51237343716355,0.625,50.0,1.4375,62.5,2.6875,68.75,3.25,87.5,6.625,100.0,10.0,100.0,18.5625,100.0,0.0,0.0,0.0,NO
Starbucks,cafeteria_fast_food,Ciudad de México,Tlalpan,Tlalpan,16,16,0.0,142.16391665473853,581.4923244480266,1065.8203992576705,1299.54293471082,637.8061480183594,0.5,31.25,0.9375,43.75,1.4375,68.75,1.625,68.75,2.9375,93.75,4.875,100.0,9.75,100.0,25.0,25.0,25.0,NO
Starbucks,cafeteria_fast_food,Jalisco,Guadalajara,Guadalajara,16,16,76.88346078769243,373.67706543539316,798.8676312185902,1088.6209043379968,2030.8368728084529,1065.06191772359,0.25,25.0,0.375,37.5,0.625,56.25,0.6875,62.5,2.1875,87.5,3.1875,87.5,7.1875,93.75,0.0,12.5,12.5,NO
Starbucks,cafeteria_fast_food,Yucatán,Mérida,Mérida,15,15,195.20285339714303,394.30483449729013,1080.274357596964,1579.9272078421204,2182.6366118552255,1186.1879210732445,0.13333333333333333,13.333333333333334,0.4,33.333333333333336,0.5333333333333333,33.333333333333336,0.5333333333333333,33.333333333333336,1.2,66.66666666666667,1.8666666666666667,80.0,3.6,93.33333333333333,0.0,0.0,0.0,NO
Starbucks,cafeteria_fast_food,Ciudad de México,Cuajimalpa de Morelos,Cuajimalpa de Morelos,14,14,52.95296755010405,182.1301065093628,303.3856019704009,345.6173386456489,805.7206733827276,375.0132291041146,0.42857142857142855,35.714285714285715,2.642857142857143,85.71428571428571,5.642857142857143,85.71428571428571,7.285714285714286,92.85714285714286,10.5,100.0,13.285714285714286,100.0,18.285714285714285,100.0,14.285714285714286,14.285714285714286,14.285714285714286,NO
Starbucks,cafeteria_fast_food,Quintana Roo,Benito Juárez,Aeropuerto,14,14,0.0,0.0,0.0,0.0,134.59312558857613,49.26938437587982,11.142857142857142,92.85714285714286,11.285714285714286,100.0,13.0,100.0,13.0,100.0,13.0,100.0,13.0,100.0,14.0,100.0,85.71428571428571,85.71428571428571,85.71428571428571,NO
Starbucks,cafeteria_fast_food,México,Huixquilucan,Naucalpan de Juárez,13,13,0.0,160.60483798034022,453.8248026967718,818.9780406419363,1867.5161760187925,710.2789374629324,1.0769230769230769,46.15384615384615,1.6923076923076923,61.53846153846154,3.076923076923077,61.53846153846154,4.769230769230769,76.92307692307692,5.384615384615385,76.92307692307692,7.615384615384615,92.3076923076923,12.23076923076923,100.0,23.076923076923077,23.076923076923077,23.076923076923077,NO
